ticker,quarter,finbert_prepared_remarks_pos,finbert_prepared_remarks_neg,finbert_prepared_remarks_neu,finbert_qa_management_pos,finbert_qa_management_neg,finbert_qa_management_neu,uncertainty_count_qa_management,forward_looking_count_prepared_remarks,forward_looking_count_qa_management,qa_management_length_zscore
MSFT,Q3 2016,0.3650723695755005,0.26150938868522644,0.37341824173927307,0.1877138912677765,0.029603853821754456,0.7826822996139526,7,49,28,-0.2559908295296611
MSFT,Q2 2016,0.4642575681209564,0.2611963450908661,0.2745460867881775,0.20113086700439453,0.016887670382857323,0.781981348991394,3,48,22,0.15372788416826766
MSFT,Q4 2016,0.3606308400630951,0.3821699917316437,0.2571991980075836,0.2120141088962555,0.027136176824569702,0.7608497142791748,2,60,25,0.17484740549290315
MSFT,Q1 2017,0.3925764560699463,0.326714426279068,0.2807091176509857,0.18446563184261322,0.01675393059849739,0.7987804412841797,5,53,37,-0.30245377644385923
MSFT,Q3 2017,0.36127153038978577,0.3030517101287842,0.33567681908607483,0.2073250710964203,0.02034826949238777,0.772326648235321,12,52,29,2.2635680644993545
MSFT,Q2 2017,0.4341992139816284,0.29858145117759705,0.2672193944454193,0.27000993490219116,0.02159752883017063,0.7083925604820251,3,40,27,0.6648203002244468
MSFT,Q4 2017,0.37950584292411804,0.2949746549129486,0.32551950216293335,0.35967057943344116,0.017878253012895584,0.6224511861801147,2,53,15,0.1347203149760957
MSFT,Q1 2018,0.5355183482170105,0.16172325611114502,0.30275842547416687,0.2471121847629547,0.014784099534153938,0.7381037473678589,5,49,16,0.33746771969259654
MSFT,Q3 2018,0.7628551125526428,0.02200530283153057,0.21513961255550385,0.2112886905670166,0.01854792982339859,0.7701632976531982,6,41,26,1.9552230531596761
MSFT,Q2 2018,0.46671584248542786,0.19232971966266632,0.340954452753067,0.2470928281545639,0.01955236680805683,0.7333548069000244,4,45,12,0.5402151244090974
MSFT,Q4 2018,0.7270931005477905,0.05248454585671425,0.22042234241962433,0.33413735032081604,0.024950947612524033,0.6409116983413696,1,45,14,-1.1683541507539148
MSFT,Q1 2019,0.5949965715408325,0.0726897269487381,0.3323136270046234,0.3267378807067871,0.015323994681239128,0.6579381227493286,7,39,13,-1.0162935972165392
MSFT,Q3 2019,0.556168794631958,0.09344038367271423,0.35039085149765015,0.23512978851795197,0.017847366631031036,0.747022807598114,10,43,21,0.35436333675230497
MSFT,Q2 2019,0.6110867261886597,0.14823386073112488,0.24067945778369904,0.21174249053001404,0.02151603065431118,0.7667414546012878,6,45,14,-0.09759441959489484
MSFT,Q4 2019,0.5546932220458984,0.11021872609853745,0.3350880742073059,0.39607590436935425,0.018538102507591248,0.5853859782218933,5,44,18,-0.876904756473945
MSFT,Q1 2020,0.40626847743988037,0.2370135486125946,0.35671794414520264,0.2980833351612091,0.014386910945177078,0.6875298023223877,6,39,9,-1.1028836346475448
MSFT,Q3 2020,0.5097882747650146,0.14948727190494537,0.34072449803352356,0.2012150138616562,0.01966535486280918,0.7791196703910828,2,48,20,0.650036635297202
MSFT,Q2 2020,0.5008088946342468,0.1334989219903946,0.365692138671875,0.1927751898765564,0.01650022529065609,0.790724515914917,4,43,9,-0.9444872247127786
MSFT,Q4 2020,0.4678667187690735,0.17874276638031006,0.35339051485061646,0.2699439525604248,0.018121296539902687,0.7119348049163818,8,63,15,-1.464027449298812
